forest,latitude,longitude
1,61.964,93.3
1,67.107,75.75
1,37.25,31.75
1,47.286,130.75
1,56.821,77.25
1,62.214,148.55
1,41.643,32.3
1,41.893,129.05
1,67.357,66.5
1,61.714,134.3
1,67.107,58.5
1,41.893,34.3
1,44.143,127.05
1,46.536,130.75
1,67.607,69.5
1,57.571,117.5
1,52.929,94.05
1,47.786,19.0
1,42.143,124.55
1,41.893,120.3
1,52.679,119.3
1,48.036,19.0
1,44.643,119.3
1,62.464,33.8
1,66.857,113.25
1,52.179,57.8
1,67.607,81.0
1,61.964,152.55
1,44.143,128.8
1,56.571,90.25
1,51.679,102.8
1,41.893,25.3
1,53.179,109.8
1,67.357,95.5
1,52.179,119.05
1,66.857,76.0
1,67.357,147.0
1,47.286,24.25
1,61.714,41.55
1,62.464,150.05
1,62.214,46.05
1,51.679,126.3
1,57.571,103.0
1,62.214,118.05
1,61.714,130.55
1,53.179,160.05
1,66.857,80.25
1,57.321,114.25
1,66.857,156.25
1,62.464,41.3
1,44.643,16.3
1,56.821,91.5
1,43.143,23.05
1,53.679,32.8
1,41.643,127.3
1,62.214,47.3
1,67.607,38.25
1,62.214,114.3
1,57.321,91.75
1,42.893,140.55
1,51.929,128.3
1,51.929,139.05
1,57.321,68.75
1,51.929,57.3
1,61.964,133.3
1,56.571,89.0
1,43.143,24.05
1,62.464,114.05
1,52.429,118.8
1,53.179,115.55
1,57.321,27.75
1,62.464,54.3
1,67.357,93.75
1,57.821,54.0
1,43.393,80.8
1,67.357,115.0
1,67.107,76.25
1,67.607,63.0
1,52.179,118.55
1,62.214,49.55
1,37.0,50.0
1,53.429,49.55
1,66.857,90.75
1,57.821,57.75
1,52.179,107.55
1,53.179,132.05
1,45.143,17.05
1,62.464,56.3
1,67.357,65.25
1,67.107,53.25
1,52.679,95.05
1,53.429,156.8
1,41.393,129.05
1,42.893,127.3
1,61.714,150.3
1,52.179,127.3
1,57.071,117.0
1,57.571,89.25
1,52.429,86.8
1,67.357,153.5
1,45.143,19.8
1,61.964,150.3
1,51.429,131.05
1,53.429,88.05
1,53.179,110.55
1,62.464,24.55
1,57.571,107.0
1,53.429,132.55
1,57.321,130.0
1,56.571,101.5
1,52.179,133.05
1,45.393,21.8
1,52.179,31.05
1,41.893,72.3
1,43.393,21.3
1,51.679,123.8
1,62.464,118.55
1,67.357,154.5
1,62.214,116.05
1,57.821,33.5
1,66.857,71.75
1,62.464,96.3
1,56.571,100.5
1,61.714,41.8
1,42.393,128.8
1,57.821,45.75
1,41.643,120.55
1,36.25,126.75
1,51.679,127.8
1,57.571,29.0
1,37.25,50.25
1,67.107,165.75
1,53.179,118.8
1,62.214,63.3
1,56.821,42.5
1,47.536,119.5
1,53.429,137.55
1,66.857,123.5
1,61.964,132.8
1,56.571,104.0
1,57.071,93.0
1,61.964,120.05
1,62.464,87.8
1,62.214,103.8
1,67.357,33.5
1,45.393,22.05
1,67.607,83.25
1,61.714,57.55
1,41.143,126.05
1,37.5,105.5
1,52.429,101.05
1,41.393,126.8
1,42.143,129.3
1,67.107,173.5
1,66.857,21.75
1,67.107,127.25
1,66.857,110.0
1,67.107,51.0
1,61.714,30.3
1,46.286,143.5
1,66.857,63.0
1,57.321,41.75
1,43.643,143.3
1,61.964,85.55
1,67.107,59.0
1,53.429,45.3
1,62.214,116.55
1,57.321,111.0
1,61.964,116.05
1,62.464,100.05
1,41.143,128.55
1,44.643,15.8
1,44.643,40.3
1,51.429,101.3
1,51.679,92.8
1,51.679,102.55
1,52.429,100.8
1,67.357,53.75
1,57.821,98.0
1,53.429,137.8
1,56.571,22.5
1,67.107,138.5
1,41.893,20.3
1,57.821,107.5
1,62.214,127.3
1,44.893,25.05
1,36.25,137.25
1,67.607,80.25
1,67.357,125.5
1,61.714,104.3
1,62.214,65.3
1,36.5,126.75
1,57.571,114.5
1,44.393,22.05
1,62.464,110.05
1,62.214,130.05
1,46.286,17.0
1,38.75,22.25
1,52.179,111.8
1,41.893,43.3
1,51.429,118.05
1,36.0,138.5
1,41.893,48.05
1,57.321,68.25
1,66.857,40.5
1,42.393,43.05
1,52.429,140.8
1,43.893,40.8
1,67.607,61.5
1,66.857,91.75
1,67.357,122.25
1,67.607,27.25
1,67.607,30.5
1,62.714,29.55
1,46.786,25.25
1,52.429,91.8
1,67.107,57.75
1,38.0,22.0
1,57.071,104.25
1,46.536,135.75
1,62.464,17.05
1,57.571,34.75
1,51.929,97.3
1,57.321,71.0
1,62.214,127.55
1,66.857,146.75
1,52.179,57.55
1,61.714,150.05
1,61.964,103.3
1,43.143,127.3
1,41.893,129.3
1,67.107,16.0
1,52.679,32.05
1,42.143,73.55
1,52.679,86.55
1,62.464,115.05
1,56.571,112.25
1,57.321,15.5
1,61.964,127.05
1,37.5,111.75
1,66.857,159.0
1,67.357,23.25
1,67.357,123.5
1,62.214,104.8
1,61.964,92.8
1,46.536,25.25
1,38.25,126.5
1,67.607,33.25
1,61.714,46.8
1,62.464,156.05
1,41.143,33.8
1,67.607,78.5
1,51.929,92.05
1,57.571,43.0
1,42.393,129.8
1,61.714,167.55
1,43.393,141.55
1,42.643,129.8
1,53.179,121.55
1,62.214,96.55
1,67.357,51.0
1,41.143,28.8
1,42.143,129.8
1,41.393,127.05
1,66.857,111.25
1,67.357,82.25
